index,Ch0,Ch1
29073,1777,1759
29074,1777,1758
29075,1779,1759
29076,1778,1760
29077,1779,1761
29078,1777,1760
29079,1777,1760
29080,1777,1760
29081,1777,1760
29082,1777,1761
29083,1776,1761
29084,1778,1761
29085,1777,1759
29086,1777,1759
29087,1778,1760
29088,1779,1760
29089,1777,1760
29090,1777,1760
29091,1776,1759
29092,1777,1759
29093,1777,1761
29094,1777,1759
29095,1778,1761
29096,1776,1761
29097,1776,1761
29098,1777,1759
29099,1776,1760
29100,1777,1760
29101,1776,1758
29102,1776,1759
29103,1776,1757
29104,1776,1758
29105,1776,1757
29106,1776,1759
29107,1776,1758
29108,1776,1758
29109,1777,1760
29110,1777,1757
29111,1778,1759
29112,1777,1760
29113,1776,1757
29114,1778,1760
29115,1779,1760
29116,1779,1759
29117,1778,1759
29118,1778,1759
29119,1779,1761
29120,1777,1760
29121,1779,1761
29122,1781,1761
29123,1781,1762
29124,1782,1762
29125,1779,1760
29126,1777,1761
29127,1779,1762
29128,1779,1760
29129,1777,1759
29130,1777,1759
29131,1777,1758
29132,1778,1759
29133,1777,1761
29134,1777,1760
29135,1777,1759
29136,1776,1759
29137,1776,1759
29138,1776,1759
29139,1776,1758
29140,1777,1760
29141,1777,1759
29142,1777,1761
29143,1778,1760
29144,1777,1759
29145,1776,1757
29146,1776,1758
29147,1776,1759
29148,1776,1761
29149,1776,1759
29150,1776,1759
29151,1776,1759
29152,1776,1760
29153,1776,1760
29154,1777,1759
29155,1777,1760
29156,1777,1760
29157,1777,1759
29158,1776,1760
29159,1778,1759
29160,1777,1760
29161,1778,1760
29162,1782,1759
29163,1779,1758
29164,1777,1760
29165,1776,1758
29166,1777,1759
29167,1778,1760
29168,1777,1760
29169,1776,1759
29170,1779,1759
29171,1776,1760
29172,1777,1757
29173,1777,1759
29174,1776,1757
29175,1776,1756
29176,1776,1757
29177,1776,1760
29178,1776,1759
29179,1776,1759
29180,1775,1757
29181,1773,1759
29182,1773,1757
29183,1773,1758
29184,1771,1755
29185,1773,1755
29186,1773,1757
29187,1774,1755
29188,1773,1758
29189,1774,1756
29190,1774,1757
29191,1775,1758
29192,1775,1757
29193,1775,1759
29194,1776,1758
29195,1776,1758
29196,1775,1758
29197,1776,1758
29198,1774,1758
29199,1776,1758
29200,1776,1758
29201,1776,1759
29202,1776,1759
29203,1776,1758
29204,1776,1759
29205,1776,1758
29206,1777,1761
29207,1776,1759
29208,1777,1758
29209,1777,1758
29210,1776,1760
29211,1776,1759
29212,1776,1757
29213,1775,1760
29214,1775,1758
29215,1774,1759
29216,1775,1759
29217,1775,1758
29218,1773,1759
29219,1773,1757
29220,1771,1756
29221,1776,1757
29222,1775,1758
29223,1776,1756
29224,1776,1758
29225,1776,1757
29226,1776,1758
29227,1776,1758
29228,1777,1758
29229,1778,1755
29230,1776,1757
29231,1776,1757
29232,1778,1756
29233,1777,1755
29234,1777,1757
29235,1777,1757
29236,1777,1756
29237,1778,1761
29238,1777,1761
29239,1777,1761
29240,1779,1758
29241,1778,1757
29242,1776,1758
29243,1776,1757
29244,1778,1761
29245,1778,1761
29246,1779,1760
29247,1776,1758
29248,1778,1761
29249,1777,1758
29250,1777,1759
29251,1776,1759
29252,1776,1758
29253,1776,1759
29254,1776,1758
29255,1776,1759
29256,1776,1759
29257,1775,1759
29258,1774,1759
29259,1775,1757
29260,1775,1758
29261,1775,1757
29262,1776,1755
29263,1776,1755
29264,1777,1758
29265,1778,1753
29266,1776,1757
29267,1776,1759
29268,1776,1757
29269,1776,1755
29270,1777,1755
29271,1776,1757
29272,1776,1755
29273,1776,1758
29274,1777,1758
29275,1776,1758
29276,1776,1760
29277,1777,1760
29278,1778,1759
29279,1776,1758
29280,1777,1759
29281,1777,1760
29282,1776,1760
29283,1777,1759
29284,1776,1759
29285,1777,1759
29286,1776,1759
29287,1776,1761
29288,1779,1760
29289,1776,1760
29290,1777,1758
29291,1776,1759
29292,1776,1758
29293,1776,1758
29294,1776,1758
