index,Ch0,Ch1
39258,1776,1762
39259,1775,1763
39260,1776,1763
39261,1776,1761
39262,1776,1763
39263,1776,1764
39264,1775,1763
39265,1776,1759
39266,1776,1761
39267,1776,1762
39268,1776,1761
39269,1775,1763
39270,1775,1761
39271,1776,1763
39272,1775,1762
39273,1776,1762
39274,1774,1761
39275,1774,1761
39276,1774,1764
39277,1774,1761
39278,1773,1762
39279,1771,1761
39280,1773,1760
39281,1771,1759
39282,1773,1761
39283,1771,1761
39284,1771,1762
39285,1774,1762
39286,1773,1766
39287,1776,1762
39288,1772,1762
39289,1776,1761
39290,1776,1761
39291,1776,1762
39292,1775,1762
39293,1775,1763
39294,1774,1762
39295,1776,1763
39296,1776,1762
39297,1776,1765
39298,1776,1763
39299,1776,1762
39300,1776,1762
39301,1776,1765
39302,1776,1766
39303,1776,1762
39304,1776,1759
39305,1776,1766
39306,1776,1762
39307,1775,1765
39308,1775,1763
39309,1776,1763
39310,1776,1762
39311,1776,1762
39312,1774,1763
39313,1776,1762
39314,1774,1761
39315,1774,1759
39316,1773,1760
39317,1774,1762
39318,1773,1761
39319,1775,1763
39320,1773,1763
39321,1771,1763
39322,1773,1763
39323,1773,1765
39324,1773,1761
39325,1771,1762
39326,1771,1763
39327,1771,1763
39328,1773,1762
39329,1775,1761
39330,1774,1761
39331,1774,1765
39332,1773,1763
39333,1772,1761
39334,1776,1761
39335,1775,1761
39336,1775,1765
39337,1775,1764
39338,1776,1763
39339,1776,1764
39340,1776,1763
39341,1776,1763
39342,1776,1762
39343,1776,1763
39344,1776,1763
39345,1776,1766
39346,1776,1763
39347,1776,1763
39348,1774,1762
39349,1774,1766
39350,1775,1761
39351,1776,1762
39352,1774,1762
39353,1775,1763
39354,1773,1763
39355,1771,1762
39356,1771,1761
39357,1773,1762
39358,1772,1761
39359,1774,1761
39360,1771,1761
39361,1771,1760
39362,1769,1761
39363,1770,1762
39364,1770,1762
39365,1770,1761
39366,1771,1763
39367,1770,1761
39368,1771,1763
39369,1771,1763
39370,1773,1762
39371,1775,1762
39372,1774,1761
39373,1773,1761
39374,1775,1764
39375,1776,1762
39376,1774,1762
39377,1776,1762
39378,1775,1761
39379,1776,1762
39380,1774,1763
39381,1776,1762
39382,1775,1765
39383,1776,1762
39384,1775,1763
39385,1776,1763
39386,1775,1761
39387,1775,1763
39388,1773,1762
39389,1773,1764
39390,1773,1762
39391,1775,1764
39392,1772,1762
39393,1771,1761
39394,1770,1765
39395,1771,1763
39396,1769,1761
39397,1772,1761
39398,1771,1763
39399,1770,1759
39400,1773,1761
39401,1773,1762
39402,1773,1765
39403,1771,1763
39404,1771,1760
39405,1771,1763
39406,1773,1759
39407,1773,1762
39408,1774,1765
39409,1773,1761
39410,1773,1760
39411,1773,1762
39412,1775,1762
39413,1774,1762
39414,1775,1764
39415,1775,1764
39416,1776,1763
39417,1775,1765
39418,1776,1761
39419,1776,1763
39420,1775,1765
39421,1775,1760
39422,1776,1762
39423,1776,1762
39424,1775,1763
39425,1775,1761
39426,1774,1762
39427,1774,1765
39428,1774,1761
39429,1775,1762
39430,1773,1764
39431,1775,1762
39432,1774,1761
39433,1771,1762
39434,1774,1763
39435,1772,1761
39436,1773,1759
39437,1771,1761
39438,1773,1764
39439,1773,1762
39440,1774,1762
39441,1774,1761
39442,1771,1765
39443,1774,1759
39444,1773,1760
39445,1773,1763
39446,1773,1763
39447,1773,1762
39448,1773,1761
39449,1773,1759
39450,1774,1763
39451,1775,1761
39452,1775,1760
39453,1773,1761
39454,1775,1763
39455,1776,1763
39456,1775,1763
39457,1776,1763
39458,1776,1762
39459,1776,1762
39460,1774,1762
39461,1775,1762
39462,1776,1763
39463,1776,1763
39464,1776,1761
39465,1776,1761
39466,1776,1762
39467,1775,1760
39468,1775,1759
39469,1773,1759
39470,1775,1762
39471,1771,1761
39472,1770,1761
39473,1771,1761
39474,1773,1761
39475,1774,1762
39476,1771,1761
39477,1770,1762
39478,1770,1763
39479,1770,1763
39480,1769,1762
39481,1772,1760
39482,1772,1761
39483,1771,1764
39484,1772,1762
39485,1772,1761
39486,1773,1760
39487,1772,1761
39488,1771,1762
39489,1772,1763
39490,1774,1763
39491,1772,1764
39492,1775,1765
39493,1775,1762
39494,1776,1762
39495,1774,1763
39496,1775,1763
