index,Ch0,Ch1
32812,1776,1761
32813,1776,1761
32814,1776,1761
32815,1776,1758
32816,1776,1760
32817,1776,1762
32818,1776,1760
32819,1776,1758
32820,1776,1761
32821,1776,1761
32822,1776,1763
32823,1776,1762
32824,1776,1760
32825,1776,1759
32826,1776,1759
32827,1776,1762
32828,1776,1758
32829,1776,1759
32830,1776,1762
32831,1775,1761
32832,1774,1761
32833,1775,1761
32834,1774,1760
32835,1773,1759
32836,1774,1761
32837,1773,1761
32838,1773,1761
32839,1775,1762
32840,1774,1760
32841,1774,1761
32842,1774,1761
32843,1773,1763
32844,1773,1761
32845,1775,1761
32846,1775,1761
32847,1775,1762
32848,1776,1763
32849,1775,1765
32850,1776,1762
32851,1775,1761
32852,1775,1762
32853,1775,1761
32854,1775,1762
32855,1776,1763
32856,1775,1762
32857,1776,1765
32858,1776,1765
32859,1776,1759
32860,1776,1762
32861,1776,1761
32862,1776,1762
32863,1776,1763
32864,1776,1763
32865,1777,1762
32866,1777,1762
32867,1776,1761
32868,1776,1762
32869,1776,1762
32870,1776,1760
32871,1776,1762
32872,1776,1761
32873,1775,1762
32874,1776,1762
32875,1776,1761
32876,1774,1761
32877,1775,1760
32878,1775,1761
32879,1774,1759
32880,1775,1760
32881,1775,1760
32882,1775,1762
32883,1775,1761
32884,1775,1762
32885,1775,1761
32886,1775,1762
32887,1775,1762
32888,1775,1761
32889,1776,1759
32890,1774,1761
32891,1776,1762
32892,1776,1762
32893,1776,1761
32894,1776,1760
32895,1776,1763
32896,1776,1760
32897,1776,1762
32898,1778,1763
32899,1776,1761
32900,1777,1764
32901,1776,1763
32902,1777,1765
32903,1776,1762
32904,1775,1763
32905,1776,1763
32906,1776,1760
32907,1776,1760
32908,1776,1761
32909,1776,1762
32910,1776,1761
32911,1776,1760
32912,1776,1761
32913,1776,1762
32914,1776,1762
32915,1775,1760
32916,1774,1761
32917,1772,1760
32918,1771,1759
32919,1771,1762
32920,1772,1760
32921,1771,1761
32922,1771,1761
32923,1771,1761
32924,1769,1760
32925,1773,1762
32926,1772,1761
32927,1773,1761
32928,1773,1759
32929,1772,1761
32930,1774,1761
32931,1774,1761
32932,1774,1760
32933,1775,1763
32934,1776,1762
32935,1776,1761
32936,1775,1761
32937,1775,1760
32938,1776,1760
32939,1776,1761
32940,1776,1761
32941,1775,1761
32942,1776,1762
32943,1775,1762
32944,1776,1761
32945,1776,1759
32946,1775,1760
32947,1771,1759
32948,1771,1761
32949,1771,1761
32950,1770,1759
32951,1770,1761
32952,1770,1758
32953,1771,1762
32954,1771,1761
32955,1771,1760
32956,1771,1760
32957,1771,1761
32958,1771,1764
32959,1772,1760
32960,1773,1759
32961,1774,1761
32962,1775,1761
32963,1775,1761
32964,1776,1761
32965,1775,1762
32966,1776,1763
32967,1776,1760
32968,1776,1760
32969,1776,1762
32970,1776,1761
32971,1776,1761
32972,1776,1760
32973,1776,1762
32974,1776,1762
32975,1777,1763
32976,1777,1762
32977,1777,1762
32978,1777,1763
32979,1778,1763
32980,1776,1760
32981,1777,1763
32982,1776,1761
32983,1776,1762
32984,1776,1761
32985,1777,1762
32986,1776,1761
32987,1776,1762
32988,1776,1761
32989,1776,1761
32990,1776,1763
32991,1776,1761
32992,1775,1763
32993,1773,1760
